City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabedelo,-6.9811,-34.8339,22.37,77,100,4.84,BR,1730270761
1,stanley,54.868,-1.6985,8.01,95,20,1.54,GB,1730270751
2,el granada,37.5027,-122.4694,12.14,81,40,4.63,US,1730270869
3,waitangi,-43.9535,-176.5597,12.68,93,100,0.89,NZ,1730270636
4,hobyo,5.3505,48.5268,28.01,76,94,3.13,SO,1730270754
5,chipinge,-20.1883,32.6236,29.79,37,41,1.51,ZW,1730270873
6,alofi,-19.0595,-169.9187,23.94,83,90,1.54,NU,1730270874
7,nova sintra,14.8667,-24.7167,25.64,74,100,5.81,CV,1730270876
8,totness,5.8833,-56.3167,25.62,87,26,2.92,SR,1730270877
9,lebu,-37.6167,-73.65,12.73,90,100,1.15,CL,1730270672
10,carnarvon,-24.8667,113.6333,24.06,74,0,11.25,AU,1730270879
11,olonkinbyen,70.9221,-8.7187,-4.89,53,100,5.64,SJ,1730270667
12,usinsk,65.9939,57.5281,0.87,98,100,6.95,RU,1730270748
13,nicoya,10.1483,-85.452,22.35,99,100,0.77,CR,1730270883
14,vila velha,-20.3297,-40.2925,21.97,98,75,2.24,BR,1730270885
15,puerto ayora,-0.7393,-90.3518,20.31,96,62,1.79,EC,1730270626
16,iskateley,67.6803,53.1512,0.78,76,100,5.97,RU,1730270639
17,puerto natales,-51.7236,-72.4875,5.74,97,100,2.09,CL,1730270431
18,aasiaat,68.7098,-52.8699,-14.26,75,100,5.79,GL,1730270817
19,karratha,-20.7377,116.8463,34.26,37,3,6.34,AU,1730270891
20,port-aux-francais,-49.35,70.2167,2.27,70,100,9.95,TF,1730270634
21,wynyard,-41.0,145.7167,13.99,68,100,0.89,AU,1730270894
22,isafjordur,66.0755,-23.124,-2.66,85,44,5.16,IS,1730270757
23,jamestown,42.097,-79.2353,18.34,71,0,5.14,US,1730270620
24,utrik,11.2278,169.8474,28.44,79,94,5.89,MH,1730270600
25,ancud,-41.8697,-73.8203,9.39,93,100,0.63,CL,1730270899
26,xining,36.6167,101.7667,10.96,59,100,2.89,CN,1730270900
27,margaret river,-33.95,115.0667,20.52,58,0,7.08,AU,1730270352
28,west island,-12.1568,96.8225,28.99,74,40,5.14,CC,1730270468
29,edinburgh of the seven seas,-37.0676,-12.3116,13.93,85,15,10.01,SH,1730270655
30,ushuaia,-54.8,-68.3,4.81,70,0,1.54,AR,1730270678
31,roma,43.2128,-75.4557,12.08,87,100,2.57,US,1730270907
32,mejit,10.2753,170.8646,28.8,71,41,6.82,MH,1730270908
33,qaqortoq,60.7167,-46.0333,-9.89,85,8,3.3,GL,1730270909
34,hilo,19.7297,-155.09,22.85,95,100,3.6,US,1730270580
35,ilam,26.9167,87.9167,22.54,82,83,2.84,NP,1730270912
36,adamstown,-25.066,-130.1015,20.89,79,95,5.21,PN,1730270627
37,bethel,41.3712,-73.414,14.2,89,75,0.0,US,1730270447
38,kodiak,57.79,-152.4072,3.73,41,0,14.4,US,1730270767
39,blackmans bay,-43.0167,147.3167,14.85,62,100,3.64,AU,1730270680
40,papatowai,-46.5619,169.4708,9.63,88,100,5.81,NZ,1730270462
41,iqaluit,63.7506,-68.5145,-3.15,79,40,9.77,CA,1730270677
42,avarua,-21.2078,-159.775,23.03,73,20,6.17,CK,1730270617
43,kaga bandoro,6.9896,19.1874,26.62,65,3,0.53,CF,1730270922
44,talnakh,69.4865,88.3972,-12.61,92,100,2.8,RU,1730270626
45,hounde,11.5,-3.5167,24.71,56,58,1.79,BF,1730270925
46,hiratacho,35.4333,132.8167,20.98,60,20,5.14,JP,1730270927
47,fort mcmurray,56.7268,-111.381,-2.23,74,100,1.54,CA,1730270815
48,wailua homesteads,22.0669,-159.378,22.7,94,16,5.83,US,1730270469
49,mournies,35.4764,24.0092,30.04,88,40,2.06,GR,1730270930
50,bredasdorp,-34.5322,20.0403,17.85,67,1,2.1,ZA,1730270706
51,klyuchi,52.2667,79.1667,4.92,61,74,5.64,RU,1730270933
52,grytviken,-54.2811,-36.5092,-0.21,98,100,2.49,GS,1730270620
53,albany,42.6001,-73.9662,12.69,93,100,0.45,US,1730270618
54,visby,57.6409,18.296,11.13,87,40,5.66,SE,1730270937
55,karmaskaly,54.3709,56.1837,1.95,57,39,5.23,RU,1730270938
56,yellowknife,62.456,-114.3525,-11.51,95,0,3.6,CA,1730270628
57,sarayonu,38.262,32.4046,10.15,58,0,2.04,TR,1730270942
58,bontang,0.1333,117.5,29.73,66,100,3.41,ID,1730270943
59,labytnangi,66.6572,66.4183,-8.92,96,99,1.34,RU,1730270775
60,anadyr,64.75,177.4833,-1.72,74,100,10.73,RU,1730270595
61,catia la mar,10.6038,-67.0303,28.33,74,96,3.09,VE,1730270947
62,lae,-6.7221,146.9847,26.72,70,73,2.51,PG,1730270949
63,sao felix do xingu,-6.6447,-51.995,22.36,90,100,0.53,BR,1730270571
64,likisa,-8.6695,125.6875,24.06,70,100,2.68,TL,1730270952
65,berber,18.0216,33.983,30.44,22,0,5.29,SD,1730270954
66,college,64.8569,-147.8028,-7.01,74,75,0.0,US,1730270583
67,invercargill,-46.4,168.35,11.12,88,100,6.26,NZ,1730270633
68,san patricio,28.017,-97.5169,25.97,85,23,7.08,US,1730270553
69,chibougamau,49.9168,-74.3659,3.79,93,100,3.6,CA,1730270959
70,ketchikan,55.3422,-131.6461,7.99,81,100,8.75,US,1730270774
71,saint-pierre,-21.3393,55.4781,26.82,61,0,11.83,RE,1730270657
72,preobrazheniye,42.9019,133.9064,12.24,77,0,2.6,RU,1730270963
73,lazaro cardenas,17.9583,-102.2,25.19,89,4,1.84,MX,1730270964
74,labrador city,52.9463,-66.9114,-1.57,67,100,30.4,CA,1730270966
75,watampone,-4.5386,120.3279,32.33,52,6,3.23,ID,1730270967
76,vezirkopru,41.1436,35.4547,13.56,77,57,0.89,TR,1730270968
77,safotu,-13.4513,-172.4018,27.44,82,22,6.23,WS,1730270718
78,mpanda,-6.3655,31.0409,29.18,44,91,2.67,TZ,1730270971
79,namibe,-15.1961,12.1522,19.86,70,27,1.13,AO,1730270798
80,berezovyy,51.6667,135.7,3.63,54,6,2.53,RU,1730270973
81,keflavik,64.0049,-22.5624,4.24,81,75,2.57,IS,1730270675
82,agat village,13.3886,144.6585,30.53,84,75,8.23,GU,1730270976
83,tofol,5.3248,163.0078,25.88,94,100,1.54,FM,1730270563
84,ribeira grande,38.5167,-28.7,20.43,81,16,4.02,PT,1730270450
85,rikaze,29.25,88.8833,14.77,20,0,1.8,CN,1730270980
86,puerto armuelles,8.2833,-82.8667,25.61,90,100,2.24,PA,1730270664
87,saipan,15.1355,145.701,31.39,70,40,5.66,MP,1730270582
88,thompson,55.7435,-97.8558,-0.91,64,75,4.12,CA,1730270745
89,geoktschai,40.6531,47.7406,11.42,76,72,0.0,AZ,1730270985
90,santa terezinha,-29.9002,-50.0904,20.67,88,95,6.67,BR,1730270987
91,nar'yan-mar,67.6713,53.087,0.79,76,100,5.98,RU,1730270988
92,quiberon,47.4841,-3.1196,12.84,81,1,7.9,FR,1730270990
93,san mariano,7.5,126.0,30.23,63,99,0.45,PH,1730270991
94,cabo san lucas,22.8909,-109.9124,27.09,66,0,4.79,MX,1730270323
95,nuuk,64.1835,-51.7216,-5.66,68,16,7.72,GL,1730270642
96,hamilton,39.1834,-84.5333,19.39,79,75,4.12,US,1730270657
97,chonchi,-42.6128,-73.8092,11.18,95,100,1.59,CL,1730270825
98,yreka,41.7354,-122.6345,4.16,75,0,3.09,US,1730270998
99,tukrah,32.5341,20.5791,22.62,61,0,6.31,LY,1730270999
100,cockburn town,21.4612,-71.1419,27.88,74,100,10.13,TC,1730270549
101,port alfred,-33.5906,26.891,16.21,95,81,3.13,ZA,1730270821
102,caleta de carquin,-11.0925,-77.6267,16.94,89,80,3.75,PE,1730271003
